id;work_year;experience_level;employment_type;job_title;salary_in_usd;employee_residence;remote_ratio;company_location;company_size
188;2021;SE;FT;Data Engineer;76833;RO;50;GB;S
272;2021;EN;FT;Data Science Consultant;76833;DE;0;DE;L
433;2022;MI;FT;Data Engineer;76940;ES;100;ES;M
445;2022;MI;FT;Data Engineer;76940;GR;100;GR;M
46;2020;MI;FT;Data Scientist;76958;GB;100;GB;S
137;2021;MI;FT;ML Engineer;77364;JP;50;JP;S
274;2021;SE;FT;Data Scientist;77684;FR;50;FR;M
526;2022;MI;FT;Data Scientist;78000;US;100;US;M
313;2022;MI;FT;Data Engineer;78526;GB;0;GB;M
354;2022;SE;FT;Data Engineer;78526;GB;0;GB;M
414;2022;MI;FT;Data Engineer;78526;GB;100;GB;M
443;2022;MI;FT;Data Engineer;78526;GB;100;GB;M
451;2022;MI;FT;Machine Learning Developer;78791;CA;100;CA;M
493;2022;SE;FT;Machine Learning Developer;78791;CA;100;CA;M
384;2022;EX;FT;Head of Machine Learning;79039;IN;50;IN;L
80;2021;SE;FT;Data Analytics Engineer;79197;DE;100;DE;L
0;2020;MI;FT;Data Scientist;79833;DE;0;DE;L
41;2020;EX;FT;Data Engineering Manager;79833;ES;50;ES;L
79;2021;EN;FT;Data Analyst;80000;US;100;US;M
89;2021;SE;FT;Data Analyst;80000;BG;100;US;S
139;2021;EN;FT;Data Scientist;80000;US;100;US;M
166;2021;EN;FT;Data Engineer;80000;US;100;US;L
241;2021;MI;FT;Data Analyst;80000;US;100;US;L
424;2022;SE;FT;Data Scientist;80000;US;0;US;M
450;2022;SE;FT;Data Engineer;80000;US;100;US;M
568;2022;SE;FT;Data Analyst;80000;US;100;US;M
178;2021;EN;FT;Machine Learning Engineer;81000;US;50;US;S
403;2022;SE;FT;Data Analyst;81666;US;0;US;M
541;2022;SE;FT;Data Analyst;81666;US;100;US;M
143;2021;MI;FT;Data Scientist;82500;US;100;US;S
72;2021;EN;FT;Research Scientist;82528;GB;50;GB;L
171;2021;MI;FT;Data Engineer;82528;GB;100;GB;L
145;2021;SE;FT;Machine Learning Engineer;82744;BE;50;BE;M
425;2022;MI;FT;Data Engineer;82900;US;0;US;M
297;2022;SE;FT;Data Analyst;84900;US;100;US;M
14;2020;MI;FT;Data Analyst;85000;US;100;US;L
161;2021;EX;FT;Head of Data Science;85000;RU;0;RU;M
273;2021;EN;FT;Machine Learning Engineer;85000;NL;100;DE;S
530;2022;MI;FT;Data Analyst;85000;CA;0;CA;M
505;2022;EN;FT;Data Scientist;86703;AU;50;AU;M
13;2020;MI;FT;Lead Data Analyst;87000;US;100;US;L
503;2022;MI;FT;Machine Learning Engineer;87425;AU;100;AU;L
226;2021;SE;FT;Data Scientist;87738;CA;100;CA;S
396;2022;MI;FT;Machine Learning Engineer;87932;FR;100;DE;M
432;2022;MI;FT;Data Engineer;87932;ES;100;ES;M
437;2022;MI;FT;Data Engineer;87932;GR;100;GR;M
457;2022;SE;FT;Lead Machine Learning Engineer;87932;DE;0;DE;M
90;2021;SE;FT;Marketing Data Analyst;88654;GR;100;DK;L
218;2021;MI;FT;Machine Learning Engineer;88654;BE;100;BE;M
227;2021;MI;FT;Data Scientist;88654;DE;50;DE;L
95;2021;MI;FT;Cloud Data Engineer;89294;SG;50;SG;L
118;2021;EN;FT;Data Analyst;90000;US;100;US;S
135;2021;MI;FT;Data Analyst;90000;US;100;US;M
147;2021;MI;FT;Data Engineer;90000;US;100;US;L
199;2021;EN;FT;Data Science Consultant;90000;US;100;US;S
251;2021;EN;FT;Data Scientist;90000;US;100;US;S
293;2022;MI;FT;Data Scientist;90000;US;0;US;M
318;2022;SE;FT;Data Analyst;90320;US;100;US;M
331;2022;SE;FT;Data Analyst;90320;US;100;US;M
333;2022;SE;FT;Data Analyst;90320;US;100;US;M
393;2022;SE;FT;Data Analyst;90320;US;100;US;M
529;2022;SE;FT;Data Analyst;90320;US;100;US;M
359;2022;SE;FT;Data Architect;90700;CA;100;CA;M
181;2021;MI;FT;Data Scientist;90734;DE;50;DE;L
217;2021;MI;FT;Data Scientist;90734;DE;50;DE;L
51;2020;EN;FT;Data Analyst;91000;US;100;US;L
69;2020;SE;FT;Data Scientist;91237;AT;0;AT;S
435;2022;MI;FT;Data Engineer;91614;GB;100;GB;M
475;2022;MI;FT;Data Scientist;91614;GB;0;GB;M
254;2021;MI;FT;Data Analyst;93000;US;100;US;L
266;2021;MI;FT;Data Engineer;93150;US;0;US;M
498;2022;SE;FT;Research Scientist;93427;FR;50;FR;L
341;2022;SE;FT;Data Engineer;93700;US;100;US;M
383;2022;SE;FT;Data Analyst;93700;US;100;US;M
110;2021;SE;FT;Machine Learning Engineer;94564;DE;50;DE;L
285;2021;SE;FT;Data Science Manager;94665;IN;50;IN;L
347;2022;SE;FT;Data Scientist;95550;US;0;US;M
99;2021;MI;FT;Computer Vision Software Engineer;95746;DE;100;US;S
194;2021;SE;FT;Research Scientist;96113;CA;50;CA;L
248;2021;SE;FT;Data Engineer;96282;GB;50;GB;L
23;2020;MI;FT;BI Data Analyst;98000;US;0;US;M
390;2022;MI;FT;Machine Learning Engineer;98158;GB;0;GB;M
405;2022;MI;FT;Data Engineer;98158;GB;0;GB;M
442;2022;MI;FT;Data Engineer;98158;GB;100;GB;M
305;2022;SE;FT;Data Analyst;99000;US;0;US;M
588;2022;SE;FT;Data Analyst;99000;US;0;US;M
548;2022;SE;FT;Data Analyst;99050;US;100;US;M
543;2022;MI;FT;Data Engineer;99100;US;0;US;M
299;2022;SE;FT;Data Scientist;99360;US;100;US;M
255;2021;SE;FT;Big Data Architect;99703;CA;50;CA;M
28;2020;EN;CT;Business Data Analyst;100000;US;100;US;L
76;2021;MI;FT;BI Data Analyst;100000;US;100;US;M
130;2021;EN;FT;Machine Learning Developer;100000;IQ;50;IQ;S
134;2021;EN;FT;Data Scientist;100000;US;0;US;S
144;2021;MI;FT;Data Engineer;100000;US;100;US;L
275;2021;EN;FT;Data Scientist;100000;US;100;US;M
281;2021;EN;FT;Research Scientist;100000;JE;0;CN;L
461;2022;EN;FT;Financial Data Analyst;100000;US;50;US;L
468;2022;SE;FT;Data Engineer;100000;US;100;US;M
487;2022;EN;PT;Data Scientist;100000;DZ;50;DZ;M
488;2022;MI;FL;Data Scientist;100000;CA;100;US;M
494;2022;SE;FT;Data Scientist;100000;BR;100;US;M
528;2022;SE;FT;Data Analyst;100000;US;100;US;M
572;2022;SE;FT;Data Analyst;100000;US;100;US;M
578;2022;SE;FT;Data Engineer;100000;US;100;US;M
426;2022;SE;FT;Data Engineer;100800;US;100;US;L
381;2022;SE;FT;Data Engineer;101570;US;100;US;M
296;2022;SE;FT;Data Analyst;102100;US;100;US;M
539;2022;MI;FT;Data Scientist;102100;US;0;US;M
286;2021;SE;FT;Head of Data;102839;SI;100;SI;L
36;2020;MI;FT;Data Science Consultant;103000;US;100;US;L
112;2021;SE;FT;Lead Data Engineer;103160;GB;100;GB;S
240;2021;SE;FT;Data Scientist;103691;CA;100;CA;L
301;2022;SE;FT;Data Scientist;104702;GB;0;GB;M
434;2022;MI;FT;Data Engineer;104702;GB;100;GB;M
467;2022;SE;FT;Data Scientist;104890;US;100;US;M
48;2020;MI;FT;Data Scientist;105000;US;100;US;L
68;2020;EN;FT;Data Scientist;105000;US;100;US;S
283;2021;SE;CT;Staff Data Scientist;105000;US;100;US;M
456;2022;SE;FT;Data Engineer;105000;US;100;US;M
584;2022;SE;FT;Data Analyst;105000;US;100;US;M
395;2022;SE;FT;Data Analytics Manager;105400;US;100;US;M
43;2020;MI;FT;Data Engineer;106000;US;100;US;L
307;2022;MI;FT;Data Analyst;106260;US;0;US;M
581;2022;SE;FT;Data Analyst;106260;US;100;US;M
346;2022;SE;FT;Data Engineer;108800;US;0;US;M
287;2021;MI;FT;Data Scientist;109000;US;50;US;L
2;2020;SE;FT;Big Data Engineer;109024;GB;50;GB;M
339;2022;SE;FT;Data Analyst;109280;US;100;US;M
595;2022;SE;FT;Data Analytics Manager;109280;US;100;US;M
60;2020;MI;FT;Data Engineer;110000;US;100;US;L
87;2021;MI;FT;Data Analytics Engineer;110000;US;100;US;L
235;2021;MI;FT;Head of Data Science;110000;US;0;US;S
242;2021;MI;FT;Data Engineer;110000;US;100;US;L
327;2022;EX;FT;Data Analyst;110000;US;100;US;M
123;2021;EN;FT;Applied Data Scientist;110037;GB;0;GB;L
546;2022;SE;FT;Data Engineer;110500;US;100;US;M
585;2022;SE;FT;Data Analyst;110925;US;100;US;M
267;2021;MI;FT;Data Engineer;111775;US;0;US;M
280;2021;MI;FT;Data Engineer;112000;US;100;US;L
420;2022;MI;FT;Machine Learning Scientist;112300;US;100;US;L
44;2020;MI;FT;Data Engineer;112872;GB;50;GB;L
330;2022;SE;FT;Data Analyst;112900;US;100;US;M
332;2022;SE;FT;Data Analyst;112900;US;100;US;M
392;2022;SE;FT;Data Analyst;112900;US;100;US;M
536;2022;SE;FT;Data Analyst;112900;US;100;US;M
348;2022;SE;FT;Data Engineer;113000;US;0;US;L
111;2021;SE;FT;Director of Data Engineering;113476;GB;100;GB;M
17;2020;SE;FT;Big Data Engineer;114047;PL;100;GB;S
24;2020;MI;FT;Lead Data Scientist;115000;AE;0;AE;L
107;2021;SE;FT;Data Engineer;115000;US;100;US;S
250;2021;MI;FT;Data Scientist;115000;US;50;US;L
504;2022;SE;FT;Data Engineer;115000;US;100;US;M
545;2022;SE;FT;Data Engineer;115000;US;100;US;M
329;2022;MI;FT;Data Analyst;115500;US;100;US;M
402;2022;SE;FT;Data Analyst;115934;US;0;US;M
540;2022;SE;FT;Data Analyst;115934;US;100;US;M
306;2022;SE;FT;Data Analyst;116000;US;0;US;M
564;2022;SE;FT;Data Analyst;116150;US;100;US;M
221;2021;MI;FT;Data Scientist;116914;GB;50;GB;L
29;2020;SE;FT;Machine Learning Manager;117104;CA;50;CA;L
300;2022;SE;FT;Data Scientist;117789;GB;0;GB;M
397;2022;MI;FT;Data Engineer;117789;GB;0;GB;M
57;2020;MI;FT;Data Scientist;118000;US;100;US;M
375;2022;EX;FT;Lead Data Engineer;118187;CA;100;CA;S
156;2021;MI;FT;Data Scientist;119059;SG;100;IL;M
58;2020;SE;FT;Data Scientist;120000;US;50;US;L
126;2021;SE;FT;Machine Learning Scientist;120000;US;50;US;S
158;2021;SE;FT;Data Analytics Manager;120000;US;100;US;M
209;2021;SE;FT;Data Analytics Manager;120000;US;0;US;L
324;2022;SE;FT;Data Scientist;120000;US;0;US;L
391;2022;MI;FT;AI Scientist;120000;US;0;US;M
453;2022;MI;FT;Machine Learning Engineer;120000;US;100;US;S
465;2022;EN;FT;Data Engineer;120000;US;100;US;M
479;2022;MI;FT;Data Scientist;120000;US;100;US;M
480;2022;SE;FT;Machine Learning Engineer;120000;AE;100;AE;S
485;2022;SE;FT;Machine Learning Engineer;120000;US;100;US;M
508;2022;EN;FT;Research Scientist;120000;US;100;US;L
317;2022;SE;FT;Data Scientist;120160;US;100;US;M
291;2022;SE;FT;Data Analyst;120600;US;100;US;M
518;2022;MI;FT;Data Scientist;122346;CH;0;CH;L
303;2022;SE;FT;Data Scientist;123000;US;100;US;M
353;2022;SE;FT;Data Scientist;123000;US;100;US;M
370;2022;SE;FT;Data Scientist;123000;US;100;US;M
325;2022;SE;FT;Data Analyst;124190;US;100;US;M
389;2022;MI;FT;Machine Learning Engineer;124333;GB;0;GB;M
9;2020;SE;FT;Lead Data Engineer;125000;NZ;50;NZ;S
159;2021;EN;FT;Machine Learning Engineer;125000;US;100;US;S
454;2022;EN;FT;Computer Vision Engineer;125000;US;0;US;M
603;2022;SE;FT;Data Engineer;126000;US;100;US;M
308;2022;MI;FT;Data Analyst;126500;US;0;US;M
580;2022;SE;FT;Data Analyst;126500;US;100;US;M
155;2021;SE;FT;Data Science Engineer;127221;CA;50;CA;L
340;2022;SE;FT;Data Engineer;128875;US;100;US;M
382;2022;SE;FT;Data Analyst;128875;US;100;US;M
604;2022;SE;FT;Data Analyst;129000;US;0;US;M
260;2021;MI;FT;Data Scientist;130000;US;50;US;L
292;2022;MI;FT;Data Scientist;130000;US;0;US;M
326;2022;EX;FT;Data Analyst;130000;US;100;US;M
360;2022;SE;FT;Data Analyst;130000;CA;100;CA;M
362;2022;SE;FT;Data Analyst;130000;CA;100;CA;M
544;2022;SE;FT;Data Engineer;130000;US;100;US;M
547;2022;SE;FT;Data Engineer;130000;US;100;US;M
599;2022;MI;FT;Data Scientist;130000;US;100;US;M
164;2021;EX;FT;Director of Data Science;130026;DE;50;DE;M
61;2020;MI;FT;Data Engineer;130800;ES;100;US;M
376;2022;SE;FT;Data Analyst;132000;US;0;US;M
320;2022;SE;FT;Data Engineer;132320;US;0;US;M
335;2022;SE;FT;Data Engineer;132320;US;100;US;M
385;2022;SE;FT;Data Engineer;132320;US;100;US;M
8;2020;MI;FT;Business Data Analyst;135000;US;100;US;L
140;2021;MI;FT;Data Analyst;135000;US;100;US;L
228;2021;SE;FT;Data Scientist;135000;US;0;US;L
289;2022;SE;FT;Data Engineer;135000;US;100;US;M
349;2022;SE;FT;Data Analyst;135000;US;100;US;M
368;2022;EX;FT;Analytics Engineer;135000;US;100;US;M
470;2022;MI;FT;Data Analyst;135000;US;100;US;M
524;2022;MI;FT;Data Scientist;135000;US;100;US;L
527;2022;SE;FT;Data Analyst;135000;US;100;US;M
366;2022;SE;FT;Data Engineer;136000;US;0;US;M
338;2022;SE;FT;Data Analyst;136600;US;100;US;M
298;2022;SE;FT;Data Scientist;136620;US;100;US;M
380;2022;SE;FT;Data Engineer;136994;US;100;US;M
351;2022;SE;FT;Data Science Manager;137141;US;100;US;M
39;2020;EN;FT;Machine Learning Engineer;138000;US;100;US;S
59;2020;MI;FT;Data Scientist;138350;US;100;US;M
365;2022;SE;FT;Data Scientist;138600;US;100;US;M
81;2021;MI;FT;Data Engineer;140000;US;100;US;L
219;2021;SE;FT;Data Analytics Manager;140000;US;100;US;L
469;2022;SE;FT;Data Scientist;140000;US;100;US;M
473;2022;SE;FT;Data Scientist;140000;US;100;US;M
569;2022;SE;FT;Data Scientist;140000;US;100;US;M
571;2022;SE;FT;Data Scientist;140000;US;100;US;M
575;2022;SE;FT;Data Scientist;140000;US;100;US;M
587;2022;SE;FT;Data Scientist;140000;US;100;US;M
563;2022;SE;FT;Data Engineer;140250;US;100;US;M
428;2022;SE;FT;Data Scientist;140400;US;0;US;L
551;2022;SE;FT;Data Scientist;140400;US;0;US;L
559;2022;SE;FT;Data Scientist;140400;US;0;US;M
538;2022;MI;FT;Data Scientist;141300;US;0;US;M
259;2021;EX;FT;Director of Data Science;141846;DE;0;DE;L
154;2021;SE;FT;Data Science Manager;144000;US;100;US;L
466;2022;SE;FT;Research Scientist;144000;US;50;US;L
553;2022;SE;FT;Data Scientist;144000;US;100;US;M
591;2022;SE;FT;Data Architect;144854;US;100;US;M
394;2022;SE;FT;Data Analytics Manager;145000;US;100;US;M
556;2022;SE;FT;Data Engineer;145000;US;100;US;M
302;2022;SE;FT;Data Scientist;146000;US;100;US;M
195;2021;MI;FT;Data Scientist;147000;US;50;US;L
379;2022;SE;FT;Data Architect;147800;US;100;US;M
55;2020;SE;FT;Principal Data Scientist;148261;DE;100;DE;M
